ID,Gender,Age,Occupation,Income,Shopping_Freq,RA1,RA2,RA3,RT1,RT2,RT3,EI1,EI2,EI3,PP1,PP2,PP3,ER1,ER2,ER3,PC1,PC2,PC3,IB1,IB2,IB3,IB4,IT1,IT2,IT3,IT4
17,2,2,2,4,4,5,4,5,4,5,4,4,2,3,4,3,4,4,4,3,4,5,4,4,5,4,4,4,4,5,3
18,1,4,3,4,1,4,5,4,4,4,4,5,5,5,5,4,5,5,5,5,4,3,4,5,4,5,5,3,3,2,3
19,1,3,3,4,4,3,4,5,4,4,4,4,3,5,3,3,4,5,5,5,5,4,5,5,5,5,4,4,5,5,4
20,1,3,3,3,5,3,3,2,5,5,5,4,4,5,5,5,4,5,5,4,4,4,2,4,5,5,5,2,2,3,3
21,1,2,1,1,2,5,4,5,3,4,3,2,4,1,4,4,3,4,4,4,3,2,2,4,5,4,4,5,3,4,3
22,2,4,2,1,5,3,3,4,5,5,5,3,2,3,3,4,4,2,3,2,5,5,5,3,4,3,3,1,1,2,2
23,2,3,3,5,3,4,3,3,4,5,5,5,5,4,5,5,5,3,2,2,2,2,4,5,5,4,4,5,5,5,5
24,2,2,6,2,2,5,5,5,4,4,5,1,2,2,4,3,4,5,5,4,4,3,2,5,2,4,2,4,3,4,3
25,1,3,2,4,4,5,4,2,5,4,5,3,3,2,4,2,5,5,5,5,2,2,4,3,3,4,3,4,4,5,3
26,1,2,1,1,4,3,3,4,3,4,4,5,4,4,5,5,5,3,5,5,5,3,4,5,5,4,4,2,4,2,3
27,1,3,4,5,5,4,3,5,3,5,4,3,3,4,1,2,1,2,3,1,4,5,4,4,3,3,2,4,3,5,4
28,1,2,1,1,3,5,5,5,4,5,5,5,5,3,5,5,5,3,5,4,5,5,5,5,4,5,5,3,5,4,4
29,2,2,2,3,4,3,1,2,3,3,4,2,1,2,2,4,4,3,4,3,2,5,4,3,2,3,4,3,3,3,3
30,1,3,5,3,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5
31,2,2,2,2,4,4,4,4,5,5,5,5,4,5,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3
32,1,4,6,2,4,4,5,5,4,3,3,3,3,4,5,4,4,2,3,3,3,2,2,2,3,4,3,3,3,3,4
33,1,3,6,5,3,4,4,5,5,5,5,4,5,5,3,2,3,5,4,4,4,4,5,4,4,4,5,3,4,3,2
34,2,2,1,1,2,4,4,5,4,4,4,3,2,3,4,4,4,4,5,3,4,4,3,3,2,4,4,5,4,5,5
35,1,3,5,3,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5
36,2,2,2,3,4,2,1,2,3,2,4,3,2,4,3,3,3,4,4,2,3,5,4,2,2,2,3,3,5,2,4
37,1,4,2,4,2,5,5,4,4,5,5,3,4,3,4,4,4,5,5,5,5,4,5,5,4,3,4,3,4,2,3
38,1,3,2,4,2,3,4,4,5,4,5,3,4,4,4,2,2,3,4,4,5,5,5,3,4,4,3,5,3,4,5
39,2,3,2,3,3,4,4,5,5,5,4,3,4,3,5,5,5,4,4,4,5,4,5,5,4,5,5,2,3,3,4
40,1,3,3,1,4,5,3,4,4,3,3,2,4,3,5,4,4,3,2,2,2,3,3,4,4,3,3,5,4,5,3
41,2,1,1,1,4,4,4,4,4,3,4,4,4,5,3,2,2,4,2,4,3,4,5,3,4,3,2,5,5,5,5
42,1,3,3,4,2,3,4,2,4,3,4,3,5,2,3,4,2,2,2,4,3,2,1,1,2,1,2,3,2,2,4
43,1,3,3,3,3,4,3,4,4,5,5,5,4,3,4,5,4,5,4,4,5,5,5,5,3,5,4,5,3,5,4
44,1,2,2,3,1,5,5,5,5,4,5,4,4,4,5,3,4,5,4,5,3,4,3,5,5,5,5,3,5,5,4
45,1,3,6,3,1,5,3,4,5,5,5,5,4,5,5,5,5,3,4,4,5,5,5,5,4,5,5,5,5,4,5
46,2,2,2,2,3,5,5,5,4,5,5,4,4,3,5,5,5,3,3,3,3,5,4,4,5,4,3,3,3,3,4
47,1,2,2,3,4,5,5,5,5,4,5,3,3,2,5,4,5,5,4,3,3,4,2,3,2,3,4,3,3,2,3
48,1,4,2,3,5,3,5,2,4,5,5,4,5,3,5,5,5,2,2,4,4,3,4,3,1,3,3,3,2,2,2
49,2,3,2,3,1,5,5,5,5,4,4,5,4,5,3,3,3,5,4,4,3,3,2,5,5,5,5,4,4,2,4
50,1,2,2,3,2,3,3,4,3,4,4,4,3,3,4,3,5,3,3,2,3,3,3,2,2,2,1,4,1,2,3
51,1,4,2,2,4,3,4,2,4,4,4,5,5,4,3,4,2,2,4,2,2,2,2,1,3,2,3,2,5,3,4
52,2,3,2,2,5,2,2,2,5,4,5,5,5,5,3,2,4,3,3,3,3,4,2,4,5,3,3,3,3,2,2
53,1,3,2,3,1,4,5,5,4,3,5,4,3,3,5,4,4,3,4,2,5,2,4,5,4,4,4,2,3,2,2
54,2,4,5,1,4,3,5,5,5,5,4,4,3,3,5,5,5,2,1,2,5,4,5,4,3,4,3,2,4,3,4
55,2,2,1,1,3,3,4,4,5,4,5,4,3,4,5,4,5,4,4,5,2,1,2,5,5,5,4,4,4,3,4
56,2,4,2,2,4,4,4,5,5,4,5,1,2,1,2,4,3,4,4,3,1,1,1,2,2,1,2,3,2,4,3
57,1,1,1,2,4,3,3,2,3,4,4,3,4,2,2,2,1,3,4,2,4,3,4,2,1,2,1,4,3,2,2
58,1,2,1,1,1,1,3,2,2,3,4,3,5,4,2,1,1,1,4,1,3,3,3,3,4,4,3,3,2,2,3
59,1,4,4,5,3,5,5,4,4,3,5,3,3,2,5,5,5,3,4,4,5,4,5,4,3,3,4,4,5,3,4
60,2,2,1,3,3,4,3,3,3,4,4,4,3,3,4,4,3,3,3,4,2,2,2,2,3,2,1,1,2,2,2
61,1,2,2,2,2,5,5,5,4,3,2,4,3,4,4,5,5,2,1,2,5,4,4,5,4,5,5,5,5,4,5
62,1,4,2,4,4,4,5,5,5,5,4,3,4,4,3,4,4,4,4,3,4,4,5,4,5,4,5,4,4,2,3
63,2,1,1,2,5,5,5,5,5,4,5,3,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4
64,1,3,4,4,3,4,3,4,5,4,4,3,3,3,2,3,2,3,4,2,2,3,1,3,4,3,2,5,4,4,4
65,2,4,5,4,3,5,4,3,2,3,4,2,3,3,3,2,4,2,2,2,5,5,5,3,3,3,3,4,4,4,5
66,2,2,2,5,3,5,5,5,5,4,5,3,2,2,5,5,5,3,3,4,5,5,5,5,4,5,4,4,2,4,3
67,2,3,2,4,2,5,4,5,2,3,4,3,3,3,5,4,5,3,4,2,5,5,4,4,4,4,5,5,4,5,3
68,2,4,3,4,3,5,3,5,5,5,5,4,5,5,5,4,4,3,4,4,5,5,5,5,4,5,4,5,5,5,4
69,2,2,2,3,3,5,5,5,5,4,4,3,4,5,5,5,5,4,5,5,3,5,4,5,5,4,4,5,4,4,5
70,2,2,1,1,4,3,1,1,3,3,4,3,3,3,5,5,4,2,3,2,2,3,4,2,4,2,2,1,3,2,4
71,2,3,3,2,2,4,5,4,4,4,4,5,3,4,4,4,3,4,5,4,5,4,3,4,4,5,5,3,2,3,2
72,2,4,2,4,4,5,4,3,5,5,5,5,4,5,5,5,3,4,3,2,3,4,3,5,5,5,4,4,4,4,3
73,2,3,3,2,2,5,5,5,2,3,2,4,4,4,3,2,2,3,2,1,5,4,3,3,4,4,2,3,4,2,5
74,2,2,2,2,4,5,4,4,4,4,3,4,3,4,2,1,1,4,4,5,5,4,4,4,5,3,5,2,4,3,3
75,2,3,2,3,2,4,5,5,5,5,4,2,2,5,4,4,5,4,5,5,4,4,4,5,5,5,5,4,4,2,4
76,1,2,1,2,5,3,3,2,5,4,5,4,2,4,4,3,2,3,5,5,3,2,3,5,2,2,3,5,5,5,5
77,1,2,1,1,5,4,4,4,4,3,2,2,2,1,3,2,3,4,5,4,5,3,4,4,2,3,4,4,5,3,4
78,1,1,1,2,5,3,3,2,5,4,5,5,5,5,4,5,4,2,4,2,4,5,4,3,4,3,2,5,5,5,5
79,2,3,3,3,3,2,2,2,2,3,2,3,4,2,1,2,2,3,4,2,4,5,5,1,2,1,3,1,1,2,2
80,2,3,2,4,4,4,5,4,4,4,4,5,5,5,3,3,4,4,5,4,2,3,4,2,3,1,3,2,3,2,4
81,2,4,4,5,2,1,2,2,4,3,2,2,2,1,2,2,1,2,3,2,5,3,4,1,2,1,2,3,3,2,2
82,2,4,3,4,4,3,3,3,4,5,5,1,3,2,5,5,5,3,4,2,5,5,4,4,3,4,4,2,4,4,4
83,2,3,2,4,4,2,2,3,5,4,5,5,5,4,3,2,4,2,3,4,3,3,4,2,3,3,3,4,5,4,3
84,2,3,3,2,3,5,4,5,4,4,5,3,2,3,3,3,2,3,4,2,3,3,2,2,3,3,1,4,3,3,3
85,1,4,6,3,2,5,4,5,3,4,4,5,4,4,5,5,5,3,2,3,5,4,4,5,5,5,5,4,5,4,4
86,2,2,3,4,1,5,5,5,4,4,4,3,3,3,5,4,4,4,5,5,2,4,4,4,4,5,5,4,5,4,4
87,2,2,1,2,1,4,4,5,2,2,3,5,5,5,5,4,5,2,4,5,5,4,5,5,5,5,4,5,5,4,5
88,1,3,3,3,2,5,5,5,4,4,4,3,3,4,5,3,3,3,4,4,4,5,4,5,4,5,3,3,4,3,2
89,2,1,1,1,2,5,4,5,4,4,3,3,4,3,3,4,2,5,5,5,4,4,2,5,5,5,5,3,5,5,4
90,2,2,2,3,1,5,5,5,4,5,4,2,4,3,3,3,4,3,2,2,5,5,5,4,5,3,4,3,4,3,2
91,1,4,2,3,3,2,4,4,2,3,2,4,3,4,3,3,4,5,4,4,3,3,3,4,3,4,3,2,2,2,2
92,1,3,3,4,3,4,5,4,4,4,3,4,3,5,3,4,4,2,2,1,5,4,3,3,3,5,3,4,3,4,4
93,1,1,1,2,4,4,2,3,4,4,3,1,2,1,3,3,2,5,4,5,4,4,4,4,5,3,3,2,3,1,3
94,2,3,3,2,4,4,3,3,5,5,5,4,5,5,5,5,4,5,5,5,3,4,4,5,5,4,5,2,4,3,3
95,2,3,3,3,4,5,4,5,5,5,5,4,5,5,5,5,4,3,4,4,4,4,5,4,4,4,4,5,3,5,5
96,2,2,5,3,5,5,5,4,4,3,5,2,4,3,5,5,5,2,3,3,3,4,4,5,5,4,5,2,2,5,3
97,2,4,2,3,2,5,5,4,5,5,5,5,3,4,4,4,4,3,4,4,4,5,4,5,5,5,5,4,5,5,5
98,1,2,2,2,3,5,5,5,3,4,3,3,5,4,1,2,2,5,5,5,4,5,3,5,4,3,5,2,2,4,2
99,2,3,5,4,2,1,2,3,3,4,4,4,4,3,5,5,4,3,2,3,5,5,5,3,3,2,3,5,4,4,3
100,2,2,2,4,4,1,2,2,3,4,2,2,3,1,3,3,3,1,1,1,4,5,4,1,1,1,1,2,2,3,2
101,2,3,2,3,5,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,4,2,4,4,3,2,3,3,3,4,3
102,2,4,2,4,2,4,4,5,4,4,4,5,4,5,4,5,4,5,4,4,4,4,3,5,5,5,4,5,5,5,5
103,1,2,1,1,5,4,2,3,4,4,3,4,5,3,4,3,3,1,4,2,3,1,2,2,2,2,3,3,3,5,1
104,2,4,4,4,3,5,4,5,3,4,3,4,4,5,5,5,5,3,5,4,5,5,5,4,5,5,4,4,2,2,4
105,2,3,5,2,3,4,4,5,5,4,5,5,5,4,5,4,3,5,5,5,5,4,5,5,5,5,4,4,3,5,3
106,1,2,1,1,5,3,3,5,5,4,5,2,1,2,3,2,3,3,3,2,3,1,2,4,3,3,2,2,3,2,1
107,2,3,4,4,5,5,5,5,4,4,4,5,4,4,3,5,5,4,5,5,4,5,5,4,4,5,5,3,3,1,3
108,1,1,1,1,4,2,5,4,3,3,3,3,2,1,3,2,2,3,3,4,5,4,4,3,2,2,2,1,2,2,4
109,2,3,2,4,5,4,4,2,2,3,2,3,3,4,5,4,4,3,1,1,4,3,3,3,3,5,2,2,1,1,2
110,2,2,6,3,1,5,5,5,4,5,4,5,4,2,3,5,4,3,3,2,5,5,5,5,4,5,5,4,5,4,4
111,1,3,4,5,2,5,5,5,3,2,4,2,3,2,4,3,4,5,5,5,5,4,5,5,5,5,4,4,5,5,5
112,2,1,1,1,3,3,5,5,2,4,3,3,4,4,1,4,4,3,4,4,4,4,5,4,3,2,4,4,5,3,2
113,2,3,2,2,5,2,1,2,4,4,4,3,4,2,5,2,2,1,3,1,3,2,2,1,1,1,1,3,2,3,2
114,1,3,2,4,4,5,5,5,5,4,5,4,4,5,4,3,5,2,2,3,5,3,4,4,4,5,4,4,4,5,3
115,2,2,2,2,3,4,4,2,5,4,5,2,2,2,5,5,5,3,3,3,3,4,4,4,4,3,4,3,1,4,3
116,1,2,1,2,5,4,5,4,3,5,4,5,4,3,2,3,4,5,3,4,5,3,3,4,4,4,2,5,2,3,3
117,2,2,1,2,1,5,5,5,4,5,5,3,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,4,3,5,5
118,2,2,1,1,3,5,4,5,4,4,4,5,5,3,5,5,5,2,2,3,4,2,4,5,4,4,5,3,5,4,4
119,2,3,2,4,4,5,4,5,4,3,4,4,4,4,3,5,3,5,4,4,4,2,2,4,3,3,4,3,3,4,3
120,2,2,1,2,3,5,4,5,5,5,4,3,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,3,2
121,2,2,1,2,3,3,3,2,2,2,2,3,3,3,4,3,3,1,3,2,3,3,1,3,1,2,2,3,4,2,1
122,1,3,2,3,1,4,5,4,5,5,4,5,4,4,4,4,3,2,2,2,4,5,2,5,5,5,5,2,3,1,4
123,2,2,1,1,3,4,4,2,3,2,4,3,3,2,1,2,3,3,4,2,4,4,3,2,3,1,3,2,3,3,4
124,1,3,2,2,4,3,4,4,4,5,5,5,3,5,3,4,4,5,5,5,4,5,5,5,4,5,4,3,4,3,2
125,1,2,1,1,4,3,3,4,1,1,1,4,5,3,5,5,5,3,3,4,5,5,5,4,4,3,5,4,2,1,2
126,1,2,2,4,1,5,4,4,5,4,4,4,2,4,5,5,5,5,4,5,3,4,4,4,4,3,3,3,1,2,2
127,1,3,5,2,3,3,2,4,3,5,4,4,4,5,4,3,4,4,5,4,2,3,3,2,4,5,3,5,5,4,3
128,2,2,1,2,5,5,5,5,5,4,5,2,2,3,4,3,3,5,5,5,4,3,3,5,5,5,5,3,5,4,4
129,1,2,5,4,5,4,4,4,3,4,5,4,2,3,4,3,5,2,2,4,5,3,4,4,4,4,3,3,5,4,3
130,2,2,2,4,5,5,5,4,3,4,4,5,4,4,4,3,4,2,2,2,4,4,5,2,2,2,2,3,3,4,4
131,1,3,2,3,3,2,2,3,4,4,3,2,4,4,4,3,3,5,4,5,3,3,2,1,2,3,3,4,2,3,1
132,1,2,1,1,3,4,3,4,4,4,3,3,3,4,5,4,5,4,5,5,5,4,4,5,5,5,5,4,4,5,5
133,1,2,5,2,5,3,2,4,3,4,4,5,4,4,5,5,5,4,3,3,4,4,2,2,4,3,4,4,2,3,3
134,1,3,3,3,4,4,5,4,5,5,4,3,5,3,2,4,3,5,4,5,3,3,2,4,5,4,5,1,2,3,4
135,2,4,2,2,5,5,4,4,4,3,2,2,4,4,3,2,3,4,4,4,5,4,4,2,3,3,2,4,3,3,3
136,1,2,6,4,3,2,2,2,3,2,3,3,4,2,4,4,5,3,4,2,4,3,3,1,3,1,3,3,3,1,3
137,1,2,1,3,4,2,3,2,4,3,2,3,2,2,3,3,3,4,3,4,5,5,4,2,3,3,2,4,3,2,1
138,1,3,3,4,4,3,5,4,4,4,4,2,3,2,5,5,4,5,3,4,3,5,4,4,4,4,5,3,2,2,2
139,1,3,2,4,3,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5
140,2,3,2,4,5,5,5,4,5,4,4,3,3,3,3,4,4,3,4,5,2,5,4,4,4,3,5,5,5,5,4
141,1,2,2,2,4,5,3,5,2,3,4,2,2,3,3,2,3,1,1,1,2,3,4,2,2,1,3,3,3,1,1
142,1,2,1,2,3,2,2,3,5,4,4,1,1,1,3,2,2,2,2,3,5,5,5,2,2,2,2,3,2,2,3
143,2,2,1,2,3,1,2,2,3,4,3,3,3,2,5,5,5,2,3,1,4,3,3,3,3,4,3,2,1,2,2
144,2,4,2,2,4,4,3,4,4,5,4,3,4,3,4,3,4,2,4,4,4,4,5,3,4,3,4,2,1,1,2
145,1,3,5,1,5,3,3,5,4,3,3,2,3,3,5,5,5,2,3,3,2,3,2,5,4,5,4,4,4,4,3
146,2,1,1,2,2,2,2,3,4,5,5,2,2,2,4,3,4,3,3,3,5,5,5,3,4,4,3,4,3,4,3
147,1,3,2,3,3,4,3,3,4,3,2,3,4,2,3,3,4,3,4,2,1,1,2,3,4,3,2,1,1,1,1
148,2,2,1,1,4,5,4,5,3,3,4,5,2,2,2,4,2,3,4,3,4,3,4,5,4,5,3,3,3,2,1
149,1,3,4,4,5,4,4,5,5,5,4,3,4,4,4,3,4,3,3,3,5,5,4,3,5,3,2,3,4,3,2
150,2,2,3,4,2,5,5,5,4,4,5,3,2,3,5,4,4,3,2,3,3,2,2,2,2,3,4,3,5,5,5
151,1,4,6,2,2,4,4,5,3,3,4,2,3,4,5,4,5,4,4,4,4,3,4,5,4,4,5,4,5,4,5
152,2,3,2,5,2,4,3,4,4,3,3,2,1,1,5,3,5,2,3,3,2,2,2,3,4,3,2,3,3,2,3
153,2,3,2,3,4,3,4,5,3,4,4,3,3,4,4,3,3,5,4,4,5,5,5,5,4,5,5,2,4,4,3
154,2,4,2,3,5,4,4,5,1,1,1,2,1,1,4,4,4,2,3,2,4,2,4,2,3,3,3,4,2,2,4
155,1,3,2,2,5,3,4,3,5,5,5,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5,4,3,5,5,5
156,2,4,2,5,2,4,3,4,5,5,5,4,2,3,5,5,5,5,4,5,5,4,3,5,5,4,5,4,5,3,3
157,2,3,3,4,4,5,5,5,5,4,4,2,2,2,3,5,5,3,4,4,4,3,3,2,1,2,2,3,3,4,3
158,1,3,2,3,5,4,4,3,2,3,3,4,3,3,4,4,5,4,3,5,4,4,3,3,4,4,3,4,2,3,3
159,1,3,2,4,2,4,5,3,4,4,4,3,4,2,5,5,5,2,1,1,4,4,3,4,4,2,3,2,3,2,4
160,1,3,2,3,5,3,4,3,5,5,5,5,4,5,5,5,5,4,5,5,3,5,5,5,5,4,5,3,2,2,2
161,2,5,4,5,2,3,3,3,5,4,5,2,4,2,3,4,4,4,5,4,2,1,2,2,3,3,3,1,1,2,1
162,2,3,2,3,3,5,5,4,4,3,3,4,3,3,5,3,5,4,4,4,1,2,3,2,2,2,1,3,2,3,3
163,2,2,2,1,3,4,4,5,4,3,4,3,4,4,4,4,5,3,3,2,3,4,4,2,3,4,2,1,2,3,3
164,2,4,5,3,2,4,3,4,3,4,5,4,3,5,5,4,4,3,3,3,4,3,4,4,4,3,4,4,5,4,5
165,1,2,5,5,2,1,2,1,3,4,4,3,3,4,5,5,3,4,4,5,5,4,5,4,5,5,4,4,3,2,2
166,1,2,1,2,4,3,3,4,2,3,4,4,5,5,4,5,2,4,4,4,5,4,4,5,5,4,5,5,5,5,4
167,1,2,2,4,5,5,4,5,4,3,4,3,3,5,2,2,1,5,3,3,3,3,2,1,2,2,1,3,3,3,4
168,1,2,2,2,4,4,4,4,3,3,4,4,4,4,3,2,2,2,2,1,3,3,4,1,2,2,2,1,3,2,4
169,2,5,2,2,2,5,5,5,5,4,3,2,3,1,5,5,5,3,4,4,3,2,3,4,4,4,4,3,3,2,5
170,2,3,3,3,2,4,5,5,5,4,4,1,3,1,5,5,5,4,5,5,5,4,3,3,4,4,3,1,4,2,4
171,1,2,2,2,5,3,4,2,4,4,5,4,3,4,3,4,2,2,4,1,5,3,4,3,4,3,2,4,4,4,3
172,1,2,1,1,2,5,3,3,4,4,4,4,3,3,4,3,3,4,4,5,3,2,3,3,5,4,4,3,2,2,3
173,2,3,2,4,4,4,5,5,4,4,4,4,5,5,5,5,4,5,5,5,4,3,5,4,5,4,5,4,5,4,4
174,2,2,2,4,4,3,1,2,1,1,2,4,4,2,5,3,4,2,3,3,1,2,2,4,3,1,3,2,4,4,3
175,1,2,1,1,4,2,3,1,4,3,2,3,4,2,3,4,3,3,4,2,4,4,3,2,1,3,3,4,3,4,4
176,1,2,6,5,3,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,4,4,4,4,5,5,5,4
177,2,3,2,2,1,4,5,4,2,2,1,3,3,2,4,3,2,4,3,3,3,2,2,5,4,4,4,3,4,3,2
178,1,2,4,3,3,5,5,5,4,4,5,3,3,2,5,5,5,4,3,3,5,5,5,4,4,5,5,5,5,4,5
179,2,2,1,2,4,3,3,4,5,3,4,3,3,4,3,2,2,2,2,3,3,4,3,3,4,3,2,2,3,3,4
180,1,2,1,2,2,4,5,4,3,4,2,5,3,4,3,3,3,2,2,3,3,2,1,3,1,1,2,4,3,4,3
181,2,2,1,1,4,5,5,4,4,4,3,2,1,2,5,5,3,3,2,4,2,2,2,4,5,4,4,4,3,3,3
182,2,4,4,3,3,5,5,5,4,4,5,3,5,4,5,5,5,4,5,4,5,4,5,3,5,3,3,3,2,2,1
183,2,3,3,4,3,3,2,3,4,4,4,4,3,3,3,3,2,4,4,4,5,3,4,3,4,3,4,4,4,4,5
184,2,3,2,2,3,3,3,2,4,4,5,2,3,4,2,4,3,5,4,4,3,4,3,3,3,2,4,3,2,2,3
185,1,3,4,5,4,5,4,5,3,3,2,4,5,5,3,3,4,5,5,5,3,3,4,1,1,2,2,2,2,3,3
186,1,3,4,3,5,2,2,2,3,4,2,5,5,4,4,3,4,4,5,3,3,1,3,3,4,3,2,4,4,4,5
187,1,3,5,4,1,5,5,5,4,4,3,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,5,5,5,3,3
188,1,3,4,3,5,4,3,3,4,4,5,3,4,5,3,5,4,2,3,4,3,4,3,3,1,3,1,2,4,4,3
189,1,3,2,4,5,3,2,2,5,5,4,3,4,2,2,4,5,3,4,2,4,4,4,5,5,3,3,4,4,3,2
190,2,2,2,4,2,5,5,5,4,3,2,5,5,4,4,4,4,3,5,4,5,4,5,5,5,5,4,3,4,3,2
191,2,3,2,3,3,3,3,4,4,4,4,3,3,3,4,4,3,4,4,5,4,3,1,4,3,2,4,5,2,3,3
192,1,4,2,3,2,3,4,3,5,5,5,2,3,3,4,4,5,4,5,5,4,4,5,3,5,4,4,2,3,2,4
193,2,3,5,4,3,4,4,5,4,5,4,3,5,3,4,4,4,3,5,4,4,4,4,3,4,3,2,5,4,4,5
194,2,3,2,3,4,5,5,4,5,4,3,2,2,3,2,1,1,3,2,3,3,3,4,5,4,3,3,4,3,4,3
195,1,3,3,5,4,4,4,4,5,4,4,2,4,3,3,4,5,5,5,5,4,5,4,4,4,3,3,5,5,4,4
196,1,3,4,5,2,5,4,5,3,3,2,4,3,4,3,4,3,2,4,3,4,2,4,4,4,3,4,3,3,4,3
197,1,2,2,3,3,2,3,4,3,3,4,5,5,4,5,5,5,5,4,5,5,3,5,4,4,3,3,4,3,2,3
198,2,3,2,3,2,4,4,4,5,5,5,4,4,5,4,3,2,5,5,5,4,4,3,4,4,4,5,5,3,3,3
199,1,3,4,3,3,3,5,3,2,3,4,4,2,4,4,4,4,3,3,4,3,4,4,2,3,4,4,4,4,3,2
200,2,2,3,3,4,3,2,4,2,2,2,4,4,5,4,4,4,3,3,2,4,4,2,5,5,4,4,2,3,3,3
